video,si,ti,e,h,mvResMean,mvResStd,mvResMin,mvResMax,pixVarMean,pixVarStd,pixVarMin,pixVarMax,kpsnr,kssim,kvmaf,kpsnr_trans,kssim_trans,kvmaf_trans
Childs_Play_s017,30.2154,1.33038,18.0667,1.4266,42680.791,168846.21,20122,1884211,2830.483118,1.264604985,2827.667235,2832.433089,155941.441,3305.879045,290633.0152,45.6197604,34.13317565,59.67817346
Childs_Play_s018,30.1994,1.01936,18,1.2981,38898.925,167517.128,18651,1866074,2826.477628,0.939768555,2824.053939,2828.257869,156495.5121,3307.487987,291179.8568,46.04710125,34.2153388,59.82466222
CityAlley_s000,31.1067,5.42061,42,7.0761,229915.975,140363.2835,197229,1756709,2750.852227,144.5488582,2549.856181,3012.882267,141752.518,3196.237749,317026.1933,34.67620809,28.53417023,66.74841695
CityAlley_s001,32.6291,5.55857,41.3417,7.1015,220883.7917,140871.6129,191517,1753096,3337.009195,183.6455405,3017.433479,3622.642825,142012.2256,3199.002454,317509.1289,34.8765139,28.67535425,66.87778645
Construction_s000,30.0044,4.86946,59,7.0709,121496.0833,252305.7495,67666,2869098,960.9632468,0.979551698,959.0358192,963.8418052,144330.311,3272.257719,309837.4683,36.66439368,32.41624968,64.8226907
Construction_s001,30.2045,5.37472,59,7.2185,135642.925,292325.6439,71442,3318764,952.3613202,6.295661655,930.5948685,960.7060811,143097.8201,3270.182705,317107.0064,35.71380507,32.31028584,66.77006528
ConstructionField_s000,32.2073,12.3263,35.5583,16.7312,407552.8167,199481.9592,359073,2576349,1785.329181,30.64726689,1742.024095,1819.238393,133404.4495,3135.880006,295050.1915,28.23755702,25.45190704,60.86145317
ConstructionField_s001,34.9461,15.6519,39.6917,20.319,404437.1167,197606.4366,356743,2551248,1801.799653,11.46562649,1770.044172,1816.785488,133219.1505,3134.24592,295061.5946,28.09464067,25.36845989,60.86450785
Crowd_s000,34.2837,11.7946,33.775,15.0417,163755.5917,226560.5218,76333,2603644,1769.67974,8.306655108,1752.216048,1785.636712,127779.5347,3166.561463,226527.2818,23.89920456,27.01870396,42.50543506
Crowd_s001,33.2426,10.75,32.4333,12.7871,148513.4417,235470.5207,98185,2694258,1734.156037,26.25690973,1686.474232,1777.993786,130322.8941,3183.872056,234541.8542,25.86083244,27.90269666,44.65239053
Dolls_s000,16.6004,8.994,20.4,8.7179,100276.7583,78488.19777,69581,932814,2046.403897,79.84474501,1902.520468,2174.200797,139559.2509,3217.95818,263452.8566,32.98459745,29.64335824,52.39711249
Dolls_s001,17.1819,14.5449,19.4083,13.5946,153438.4917,94961.03531,75840,1045975,2586.553391,313.9930475,2048.619201,3082.143837,135034.4251,3199.929992,241310.1964,29.49471536,28.72272045,46.46550404
Eldorado_s001,27.6226,6.35168,22.45,7.7836,129388.7333,387027.8529,40367,4253614,3239.146244,481.8109005,2824.139745,3968.119074,143605.9603,3275.443464,279222.7628,36.1057206,32.57893479,56.62157823
Eldorado_s002,34.8026,3.28015,31.0583,6.1072,155278.8417,407705.9447,56798,4526311,2632.199479,1400.628961,901.797233,3951.66482,141613.3036,3260.371896,284301.0063,34.56883561,31.80928145,57.98194558
Eldorado_s003,38.8134,17.7793,49.4417,25.3103,375429.3583,555998.8103,56499,5973003,1508.797322,122.102265,1277.943369,1819.401754,124144.3089,3187.186398,277712.3259,21.09544815,28.07194876,56.21696018
Eldorado_s004,58.5047,22.0686,85.2083,27.5187,650666.2417,659483.8492,316057,7723648,2085.309692,118.679075,1833.853081,2215.566117,113939.2753,3052.395315,267015.2606,13.22456753,21.18862988,53.35141455
Eldorado_s005,55.4637,3.40129,100.375,9.2266,412619.5417,1108819.613,196178,9617071,1616.657444,171.8063624,1525.081928,2216.030346,119704.8681,3113.654432,265593.003,17.67142135,24.31692312,52.97041808
Eldorado_s006,48.0681,4.40633,83.4417,10.4996,308996.4083,907947.5468,74664,10172647,1975.806453,364.4278532,1779.160269,2667.346712,126155.5141,3179.498243,277326.2823,22.64663913,27.67934101,56.11354624
Eldorado_s007,10.2709,6.93098,14.425,6.3716,81221.775,36784.27163,74078,481142,2728.838602,151.2877706,2613.190783,3106.195215,142339.8501,3240.901573,246588.0076,35.12920224,30.81499875,47.87933189
Eldorado_s008,11.3488,9.33052,15.2833,7.5488,100119.3417,40932.88318,82144,528914,2807.190936,282.4356433,2089.955435,3092.85793,138443.3011,3217.076365,235321.6311,32.12389402,29.59832696,44.86127833
Eldorado_s009,10.3548,13.0604,14.35,8.6934,100919.6917,23265.70729,73648,317309,2976.595712,288.9333479,2453.995872,3394.799802,135858.4,3208.529573,226883.3115,30.13022605,29.16187157,42.60080882
Eldorado_s010,34.4035,15.9688,47.5583,22.5972,329307.4917,180942.3866,0,613799,2068.866964,282.979313,1405.01712,2613.763391,114277.3037,2945.124758,179576.3705,13.48528016,15.71068996,29.92815572
Eldorado_s011,39.8074,19.0843,60.8917,28.4841,903527.15,543059.7576,0,4182745,2284.969745,340.2841722,1789.179241,2919.91038,104115.308,2714.382212,139939.0748,5.647593617,3.92745857,19.31005848
Eldorado_s012,48.4083,11.121,60.575,18.9295,1073360.25,831886.8027,0,5094999,3257.425243,255.0178973,2935.481303,3711.500762,103212.4018,2814.520748,131290.8123,4.951205224,9.041190548,16.99334917
Eldorado_s013,37.4185,14.1733,37.4667,23.6811,563273.8167,484849.4434,70616,3627420,3025.738984,644.3395356,1521.247549,3627.66907,111125.0281,3027.075086,163335.1006,11.05401087,19.89561251,25.57742037
Eldorado_s014,21.8987,16.3152,28.9083,33.0319,553983.9583,325834.5725,345764,3494130,2052.63989,1065.641257,1218.693968,3622.744396,111689.7176,2953.132799,112994.2217,11.48954136,16.11963319,12.0920315
Eldorado_s015,18.1429,14.0394,23.95,34.2602,471032.0583,36744.85727,403333,771195,1517.195204,123.9168849,1397.02156,1890.713169,116530.7943,2978.05585,101689.4781,15.22333967,17.39236805,9.063700102
Eldorado_s016,21.5666,13.834,27.225,34.3115,476725.0667,316263.6037,375472,3894504,1878.282698,904.1195112,1257.595494,3883.560082,115517.2181,2978.495694,101082.3791,14.44159436,17.41482938,8.901069535
Eldorado_s017,43.1053,7.30249,48.725,14.9092,493733.1083,366685.1746,425696,4489167,3857.468376,59.81095205,3746.095836,3935.700743,118385.3071,3071.14142,205072.0906,16.65367783,22.14592923,36.75798681
Eldorado_s018,30.9621,9.57236,35.9583,14.5351,331748.8083,402962.7836,127839,4367134,3280.71161,702.1388422,2331.228262,3959.70792,125605.8364,3123.917066,219626.0412,22.22268684,24.84100069,40.65672055
Eldorado_s019,27.8145,12.469,27.8083,13.2198,169085.5583,83056.68375,123545,1005671,3266.423022,71.35220886,2997.626843,3360.450994,140812.3263,3225.382553,299528.197,33.95106232,30.02249555,62.06102789
Eldorado_s020,17.5612,2.87196,18.1583,5.4785,100243.4917,268328.7268,0,2883027,1626.016977,901.7541452,1054.955739,3372.354737,146160.0985,3262.892265,276377.5747,38.07566189,31.93798806,55.85940505
Eldorado_s021,27.1819,2.14625,31.0417,4.2268,89694.375,152669.1438,0,1648155,1342.276687,97.38651013,1262.732549,1628.145372,146930.2377,3276.325642,297220.4643,38.66965048,32.62398459,61.44282906
Eldorado_s022,24.1177,1.73868,28.4417,3.4597,80541.45833,125017.3566,55054,1440194,1711.874254,34.22062608,1637.240551,1760.765443,149388.4915,3282.194138,302400.2585,40.56563856,32.92366856,62.83039996
Eldorado_s023,19.9672,10.2563,28.275,16.2259,149692.4333,225302.2419,52946,2259313,1320.349653,228.2645056,971.7424473,1653.181115,133824.8539,3167.222892,257001.6529,28.56180416,27.0524809,50.66895454
Eldorado_s024,28.3589,20.4182,37.5,35.0469,276446.825,86595.2868,181687,1026981,1341.40116,188.7546553,944.9764992,1786.838206,119813.6774,2990.170084,217415.1552,17.75534318,18.01100045,40.06446515
Eldorado_s025,32.1871,19.3036,44.9583,33.5665,528328.575,311608.1966,256642,2791710,1308.85213,113.7628769,1116.046334,1497.492423,108122.6216,2778.314607,134967.9657,8.738331795,7.192266974,17.97839045
Eldorado_s026,24.2655,16.1879,40.4417,24.1716,341665.4583,275714.7992,216252,2413683,925.0369379,49.9024342,840.7478563,1167.559863,112408.3766,2829.03408,145804.6006,12.04382467,9.782336705,20.88132418
Eldorado_s027,21.5939,15.1735,34.725,22.2576,261271.425,133116.3945,185282,1636075,901.9928448,43.75005918,835.6336908,970.1720003,118379.2687,2948.265015,171760.4532,16.64902055,15.87105213,27.83441625
Eldorado_s028,24.3922,15.1568,37.0833,20.432,297093.6167,136467.7367,244988,1766567,756.2408333,31.50960025,700.1688229,842.1718496,116754.0416,2925.749697,166421.9708,15.39552459,14.72127197,26.40433571
Eldorado_s029,41.7106,21.2881,52.55,31.1111,484039.05,533548.4791,200609,5814146,936.4050949,100.6743797,734.1638118,1115.010897,116704.6044,3051.927339,216674.8548,15.35739491,21.16473194,39.8661524
