video,si,ti,e,h,mvResMean,mvResStf,mvResMin,mvResMax
AncientThought_s000,4.93421,13.2903,4.8583,3.4905,24366.275,3875.307581,14793,31310
AncientThought_s001,5.01841,4.51282,4.4917,2.013,19699.375,4857.102828,16939,70427
AncientThought_s002,18.0281,3.19386,11.6,2.7683,22704.3,6062.738344,14023,60001
AncientThought_s003,45.1816,2.32865,25.625,3.3057,137779.7917,264122.2617,30259,2256621
AncientThought_s004,21.4646,1.51187,12.9667,3.0876,38455.475,222013.6038,954,2456204
AncientThought_s005,8.89555,3.8997,4.6083,3.8818,12238.48333,4674.409303,7460,60907
